pathway,SIM01_V1,SIM01_V2,SIM01_V3,SIM02_V1,SIM02_V2,SIM02_V3,SIM03_V2,SIM03_V3,SIM04_V1,SIM04_V2,SIM04_V3,SIM05_V1,SIM05_V2,SIM05_V3,SIM06_V1,SIM06_V2,SIM06_V3,SIM07_V1,SIM07_V2,SIM07_V3,SIM08_V1,SIM08_V2,SIM08_V3,SIM09_V1,SIM09_V2,SIM09_V3,SIM10_V1,SIM10_V2,SIM10_V3
MetaCyc-pathway-089,0,4855.662,6070.821,0,4267.034,7806.821,3656.073,6737.849,7434.678,0,6592.389,0,6703.575,11192.041,4764.756,4401.261,7658.261,4282.022,2890.116,1329.016,9513.355,2163.951,3852.097,4329.887,7479.654,0,5676.047,2311.934,8697.067
MetaCyc-pathway-090,1530.9,8643.008,2329.34,5029.473,1082.857,7950.066,6543.814,488.474,6018.325,2179.561,5402.016,3774.277,8163.358,5436.593,3569.317,4313.85,3970.713,7749.935,7455.203,10819.488,4579.084,4715.017,6074.165,3861.315,5858.067,5212.446,4050.719,7374.855,7464.177
MetaCyc-pathway-091,6060.746,6381.122,3464.779,7960.637,3667.133,5996.293,1837.986,48.173,6576.845,1464.719,11351.383,6597.21,5445.276,4264.368,3112.595,3331.458,8330.159,1354.102,6451.006,10041.224,7996.32,7062.403,9608.266,1256.006,4318.381,4253.51,4813.957,4895.976,6358.559
MetaCyc-pathway-092,6629.128,3849.024,3335.259,0,665.77,267.971,6922.73,4451.601,5635.683,6971.47,8442.088,8783.285,9425.813,5535.8,5222.475,950.793,5974.306,7770.876,5943.455,5761.835,8416.453,7393.654,3383.21,7338.923,4041.628,0,9109.894,6462.107,5456.855
MetaCyc-pathway-093,0,8439.643,3183.463,4859.742,5767.567,6005.043,4730.582,8195.564,3605.63,263.197,5066.699,5868.534,3511.813,4758.553,2199.9,5152.55,8065.768,6544.883,8784.427,2945.804,10394.478,8938.824,8576.974,6861.775,4967.829,1186.52,4107.365,2285.188,6631.562
MetaCyc-pathway-094,8027.812,6896.603,7420.641,8403.935,7681.322,1564.844,3685.79,5844.988,5591.659,2380.855,2068.949,3566.819,2955.517,0,2407.46,2937.96,9880.178,3911.239,5840.009,3656.154,8464.354,1089.598,6969.137,5384.595,5220.627,8404.588,9339.069,2894.973,2822.599
MetaCyc-pathway-095,5983.59,7884.88,5418.474,5639.778,6971.707,2590.117,1102.044,7470.478,4480.233,0,4630.202,2619.047,0,3618.813,9267.945,3135.284,6374.346,6681.639,5669.608,3583.795,7619.467,4753.262,3568.945,838.816,3589.833,0,7154.11,6008.689,5259.892
MetaCyc-pathway-096,5155.617,0,8570.365,3897.928,5672.343,3267.08,0,4207.935,7406.182,1649.376,6529.463,927.566,2492.233,5984.384,8656.868,1858.791,4997.953,0,7832.218,4212.68,0,5557.143,2688.695,3866.35,11968.601,3022.076,3751.002,1122.526,4595.518
MetaCyc-pathway-097,2757.983,1202.964,1072.659,2822.28,2462.199,7140.823,6687.775,4642.896,9316.805,12858.717,2826.309,0,10989.743,4451.134,0,4210.136,7400.581,9730.343,7715.493,4347.542,6226.956,0,6608.644,11554.697,3795.545,7742.624,5487.429,1948.226,3988.254
MetaCyc-pathway-098,8257.078,3781.916,7442.467,7930.981,0,3865.828,8458.087,7723.488,0,7713.225,2458.561,4219.187,853.908,6702.281,8670.355,7835.06,1094.986,13522.431,6745.337,10649.371,3591.592,1448.535,4689.057,2118.168,4625.739,7823.135,2884.567,660.803,11368.139
MetaCyc-pathway-099,0,8959.161,6430.826,2322.092,0,2452.137,5107.225,0,26.971,4725.344,5645.726,7449.652,0,8102.312,0,7602.291,1047.429,3242.068,5997.656,6231.299,8387.364,4610.517,5818.759,9566.903,1516.993,5174.352,4156.016,0,2577.221
MetaCyc-pathway-100,7910.07,7531.785,9411.112,5272.161,7061.152,0,5645.823,6861.212,1515.824,3081.173,4880.477,0,2809.434,4582.728,3979.45,0,7019.71,3549.226,7864.707,2123.315,6047.696,3274.704,3567.772,2439.882,7824.234,5404.751,4081.068,3679.045,4194.335
MetaCyc-pathway-101,7436.891,3315.063,3623.119,9860.409,6018.184,8178.347,8457.125,4696.701,6106.818,10362.364,4414.684,7595.26,1757.942,5481.315,5992.711,11344.868,4339.126,1597.857,10755.103,3263.079,4948.017,1567.914,3015.276,6211.78,1762.586,7780.386,0,6457.003,6612.949
MetaCyc-pathway-102,0,2680.223,7000.306,2707.54,8701.908,7880.233,6063.008,8278.945,2434.822,8780.826,4922.526,911.76,3936.392,5786.163,5270.371,2135.259,7435.352,5426.07,2652.221,9326.66,0,4303.841,6985.4,2517.764,917.146,10342.477,3956.962,9990.356,2734.719
MetaCyc-pathway-103,839.712,4507.267,13268.096,3431.374,5927.364,4969.382,6974.833,1326.351,2717.57,5428.972,5953.657,6562.5,6356.234,3922.765,8036.527,194.411,7208.613,8372.544,3579.051,7296.344,11559.608,4871.2,5756.217,958.464,6452.424,6504.24,7741.66,6852.684,3158.637
MetaCyc-pathway-104,8575.096,3602.081,9911.279,10414.206,5515.591,6706.593,9774.76,7408.442,3609.185,426.855,7867.763,1179.053,5099.087,8032.656,3104.454,234.982,3516.422,1602.605,4237.464,1864.767,5627.709,3916.626,5030.738,7391.025,6809.676,0,5673.423,6404.587,5976.739
MetaCyc-pathway-105,3842.066,269.416,6349.536,5503.301,4586.914,7941.293,1271.313,0,4903.133,7452.672,9399.621,2117.492,2818.758,0,5291.591,12423.744,608.587,975.41,2388.683,0,5710.469,3782.609,5751.816,6345.634,1852.703,0,6103.82,4126.349,6032.41
MetaCyc-pathway-106,2261.916,3538.837,4107.647,5030.872,6596.1,1118.396,0,3325.154,7803.674,5614.135,8265.455,0,3657.109,1629.267,8929.801,8262.144,7512.717,7452.705,3828.643,5429.355,7849.04,6128.516,6783.081,9499.906,4030.176,3180.075,0,6693.949,1396.938
MetaCyc-pathway-107,1505.537,6119.107,4601.849,837.909,3786.362,3251.052,10021.742,4909.355,5052.837,1797.18,7168.24,8733.837,3323.999,1580.847,6962.722,3270.948,2343.761,3765.619,5312.694,6441.308,0,0,12944.989,5654.762,1799.913,8559.436,5515.158,3854.216,8995.155
MetaCyc-pathway-108,4523.216,8639.723,12639.113,8797.256,8821.29,4832.756,7861.663,3942.166,10964.607,225.982,10808.848,4735.326,35.029,7643.667,6357.251,4719.996,6040.628,335.161,0,4326.485,5943.438,4641.754,5891.456,3767.757,5373.015,2080.325,6532.165,6418.619,5640.29
MetaCyc-pathway-109,7234.111,3008.623,7746.145,9115.119,5596.615,6947.846,2905.297,1927.312,456.613,1350.046,5630.112,14521.491,2496.435,2230.393,1315.353,5664.824,8003.646,1331.03,2290.556,9272.341,3532.121,10690.742,609.51,4265.312,5794.111,8270.37,1687.771,8512.196,2548.661
MetaCyc-pathway-110,3349.084,3775.762,3385.964,2106.12,2652.004,9570.491,4839.609,1093.767,7507.516,5650.388,9382.076,7715.169,5181.509,3349.165,4380.112,8758.708,4166.221,2314.226,1822.888,8491.961,6496.937,8019.581,4012.482,3233.561,2094.817,7851.761,0,5300.238,5971.019
MetaCyc-pathway-111,5845.497,3540.407,9558.728,9484.665,3109.045,3173.477,6869.363,4147.74,11.75,3811.001,3555.52,9486.68,7676.206,2207.63,5058.659,5130.319,5998.28,341.479,4068.218,5193.51,3084.099,1464.605,2941.038,7038.071,2459.69,7.513,5024.355,7155.668,5250.362
MetaCyc-pathway-112,5558.478,2221.48,9992.576,9034.259,3270.495,8072.767,5686.381,7721.289,4203.724,6461.34,2261.067,0,5298.842,7810.674,7440.86,6458.234,6690.627,2588.428,3523.684,3478.313,9886.743,4251.526,9734.722,7251.558,10066.695,2604.453,7025.072,1891.665,10865.439
MetaCyc-pathway-113,6088.757,4469.543,4252.988,8640.194,9078.172,1399.695,0,1877.005,6618.933,3877.476,1390.08,4435.53,3669.712,8859.292,9602.505,10976.862,6222.541,3140.805,6948.552,4751.342,5767.66,5025.805,0,3793.473,3537.972,4571.271,7551.157,4991.299,1290.488
MetaCyc-pathway-114,9925.802,59.582,3440.848,7799,386.884,8730.047,3606.493,0,6576.161,2141.914,8334.585,4275.332,9458.43,9719.733,5218.79,7378.541,3340.079,4567.036,488.902,3682.999,8394.805,12410.258,1517.998,10029.618,3557.724,9842.062,9016.376,3084.726,8588.941
MetaCyc-pathway-115,7272.141,0,3142.568,5231.621,3401.259,11259.242,4204.135,5074.034,9849.173,400.779,2537.022,4688.763,9907.938,599.195,6957.474,2732.199,0,912.788,3094.41,4415.651,749.492,4532.488,4746.265,2553.47,2790.545,7817.671,7322.724,11236.261,8677.9
MetaCyc-pathway-116,5274.744,5941.879,4014.172,831.582,7916.721,0,1114.115,6204.385,7041.499,8779.93,6110.848,5375.771,3244.292,5835.474,6.821,6037.944,5159.87,7444.197,5369.303,5259.746,3006.47,120.298,8385.434,7943.239,7357.512,3139.633,8478.036,3519.229,8961.144
MetaCyc-pathway-117,6238.063,3550.92,4335.868,5599.145,4818.405,6097.553,8770.061,3184.048,3566.408,2262.572,0,5246.228,10118.25,6030.441,3860.082,0,7432.549,6261.058,5816.568,8724.975,6706.393,5926.321,7019.223,6874.902,4080.667,3929.371,4283.299,6863.056,656.97
MetaCyc-pathway-118,2987.11,9997.955,2176.218,5138.591,4485.178,0,3739.506,1219.337,10530.688,1778.151,6886.266,7018.337,1585.931,8891.479,10384.13,6208.398,8617.531,8033.451,3920.912,4109.941,2350.606,7403.047,6627.212,6802.857,9333.574,5862.18,1950.219,10260.895,2597.95
MetaCyc-pathway-119,8840.208,5398.027,3397.609,2330.012,3374.728,5996.615,3396.724,0,7414.681,7294.119,8727.648,8722.174,9472.147,4637.669,2415.964,2849.713,4152.007,4484.104,8583.322,9868.679,1360.27,2765.349,4060.441,10046.223,6762.145,4872.657,2863.558,0,635.878
MetaCyc-pathway-120,3479.744,3629.437,2170.868,3972.033,4802.819,12476.529,0,5631.658,5270.297,8370.254,11472.955,2572.514,1492.45,8453.501,5820.428,2984.852,6336.615,6871.17,4616.087,2944.997,7752.406,11782.056,9022.058,2748.961,0,8790.688,3034.51,6358.567,5976.429
MetaCyc-pathway-121,4955.331,5102.243,5686.09,6203.829,4941.52,9880.117,2827.831,4334.285,702.374,5059.399,5457.172,5327.789,6493.083,2466.948,8187.348,3844.096,9196.912,7061.784,4433.248,6526.127,10116.018,4094.539,6334.857,11592.317,5528.324,2918.074,8108.614,3644.854,4633.102
MetaCyc-pathway-122,0,6250.099,2253.073,5185.497,9033.509,12224.118,571.93,9590.171,8502.04,2241.635,5549.68,4739.75,5731.628,6099.571,2534.579,5647.065,5018.102,1063.698,2944.457,5236.121,2823.212,5649.494,3401.221,11511.11,7802.292,10787.456,3254.533,6421.599,4052.961
MetaCyc-pathway-123,10446.595,4245.862,1963.909,3597.215,4177.409,3564.791,3821.289,5896.094,7065.55,7021.738,7365.3,9829.291,6205.212,5367.511,7484.787,2823.845,1027.363,8229.374,3125.177,6903.296,11954.825,3555.192,8035.04,6346.978,1425.846,2913.795,3273.663,4081.601,4144.323
MetaCyc-pathway-124,5756.073,6274.697,5540.65,41.524,4853.925,7068.519,4179.211,4380.775,10343.273,10057.419,1507.118,8276.245,3807.325,5463.04,4389.62,8610.101,3243.042,2254.977,2037.254,4933.656,3235.462,3349.994,1536.906,6503.899,5944.838,5311.42,0,0,2500.242
MetaCyc-pathway-125,2382.224,5116.793,7339.498,2317.388,5428.54,904.546,1643.938,10205.283,10087.279,4475.973,8816.636,8173.035,3431.189,4214.613,5383.948,2016.337,4347.026,1805.983,5065.096,309.307,0,2927.638,690.816,4545.729,7458.428,2639.242,390.332,5562.547,8399.36
MetaCyc-pathway-126,6251.901,5903.295,0,3340.433,994.416,2468.929,5985.407,4742.353,701.751,7640.849,9612.881,0,3107.874,8857.417,5594.89,2069.948,7467.118,8053.584,5456.83,2606.691,1246.147,8501.976,4099.353,6632.686,7419.142,4007.243,2975.315,5291.528,11012.311
MetaCyc-pathway-127,1977.269,4438.025,7380.794,3252.103,3143.283,2672.101,2963.974,3468.325,8956.988,5732.096,2592.088,4676.605,7316.848,4252.48,5162.492,3804.248,9212.605,10007.997,6328.526,3856.496,6584.332,0,9372.689,8928.525,2948.152,4502.197,7258.098,4700.275,3790.569
MetaCyc-pathway-128,346.872,3016.301,3506.87,2794.089,624.328,3328.292,7905.372,308.351,2455.937,7268.572,2450.813,4479.593,7122.171,3759.942,2043.148,1965.192,857.826,11945.38,6143.895,1794.503,2710.548,6683.599,3996.115,6177.119,10269.451,3852.604,740.571,4753.746,1844.183
MetaCyc-pathway-129,2872.408,4838.847,0,2407.224,5655.254,3115.774,7529.854,6130.738,8145.739,53.754,3577.423,5355.078,11696.661,3082.062,8353.332,6218.649,4931.365,1927.64,6461.503,4366.669,5253.102,4460.854,13944.764,7538.139,6900.771,565.733,7465.449,0,1491.476
MetaCyc-pathway-130,6574.673,7538.227,6616.779,5924.511,6542.237,8786.457,3708.134,5044.198,4058.584,7121.046,3055.849,5481.06,5506.801,6476.63,7508.4,6587.669,8071.903,3586.502,16198.502,5411.598,5374.632,11289.868,998.656,0,4324.041,7127.926,5149.405,3780.144,2265.066
MetaCyc-pathway-131,3161.747,5572.226,6741.943,9891.861,5700.675,4102.637,6975.129,834.346,4093.001,1638.556,206.27,8822.551,3668.182,1235.527,5771.008,488.924,10280.112,1610.037,7152.707,5899.382,5124.499,5479.85,6431.183,5124.222,4419.2,4271.184,0.285,5386.747,4338.476
MetaCyc-pathway-132,5978.464,3873.673,3958.209,1607.094,0,10218.218,7152.196,8434.711,4233.772,4606.655,673.318,443.471,5924.832,2937.424,7583.539,5603.227,2600.93,5120.13,5851.817,9698.913,2176.53,2555.324,5336.165,3646.813,1410.029,5500.335,10785.558,6479.913,4403.638
MetaCyc-pathway-133,4386.942,7852.876,6268.696,2764.893,4565.208,5241.554,4518.378,6179.264,3728.443,10038.929,7307.729,2974.219,5292.45,525.957,3021.795,3984.508,3106.221,2346.153,5120.413,8901.079,3265.049,13457.282,4197.423,2480.59,6684.263,7863.779,3580.028,2290.873,11978.243
MetaCyc-pathway-134,0,6154.657,3579.968,7311.014,3570.786,5710.374,7138.818,11589.244,6286.11,2335.784,1373.596,8931.964,4586.025,4402.169,8017.164,4585.903,4885.699,8024.954,3824.14,11824.854,5924.457,3444.262,4416.258,6652.107,6283.271,2576.208,3358.398,7437.769,10143.018
MetaCyc-pathway-135,0,6716.293,4700.075,4360.698,11405.81,1766.775,5154.424,2846.433,6207.804,4264.267,4919.867,3236.449,4817.307,474.193,0,6682.482,8876.052,5781.159,5093.554,4627.391,5436.874,4918.377,10154.627,0,2388.37,6782.893,9660.963,358.988,3206.432
MetaCyc-pathway-136,6198.643,3079.296,6519.726,9795.001,4086.686,9631.731,5121.309,6808.167,3415.897,4573.661,3601.761,0,3921.169,5007.905,4234.112,4763.043,5706.122,29.819,7646.155,5199.199,4394.812,2188.043,5513.112,4182.757,7441.68,0,10109.511,5675.853,5509.127
MetaCyc-pathway-137,1743.773,362.946,5185.354,388.571,2731.508,4873.532,4035.454,8901.04,1875.649,1445.964,2256.36,1064.519,2195.609,3845.391,2560.244,912.501,7560.696,11310.421,6894.554,3467.494,6511.005,2504.762,2839.47,6622.524,4610.645,1290.863,3854.447,3403.636,5213.697
MetaCyc-pathway-138,5992.952,3625.685,6387.432,7774.826,5605.971,2700.314,6739.046,7624.922,4507.685,9238.96,4275.297,6563.908,4573.123,3618.659,10752.494,4844.067,7501.582,5200.817,2014.223,7333.123,2576.86,9293.794,3843.773,7092.867,8571.441,0,3790.107,1461.464,8568.321
MetaCyc-pathway-139,3219.39,5924.709,6985.495,8128.312,2048.553,6928.322,0,10151.392,6297.469,6674.345,4298.634,5309.823,7641.642,1977.452,11869.428,7296.237,6251.916,3895.187,4257.966,4475.509,4763.643,5038.096,7044.394,8553.503,357.911,6064.025,2068.327,8475.085,4567.818
MetaCyc-pathway-140,3573.71,0,2936.879,3397.392,5166.354,4159.494,2791.319,5510.422,3645.524,8729.258,8836.118,3590.992,8205.596,4726.168,9133.273,9189.41,174.175,9782.955,10365.364,7220.565,5781.171,8016.53,1740.348,4178.799,7830.259,5451.42,3093.14,5694.707,8126.98
MetaCyc-pathway-141,5936.375,1123.387,2676.466,6183.239,0,5041.7,5066.082,6720.384,6734.357,5024.901,6916.046,0,9906.862,5772.626,8470.64,4592.965,3212.476,5918.866,6904.901,8960.374,2462.13,4261.823,0,3534.901,11184.426,10565.962,6769.278,12521.998,10618.813
MetaCyc-pathway-142,7497.617,8112.325,7164.522,8408.723,4367.473,7498.392,0,4490.626,6799.211,0,4948.982,4499.267,6484.167,2150.725,4642.171,5724.268,7572.886,8429.736,2739.005,7410.562,5805.283,6763.989,4533.909,11597.203,3944.747,9030.362,5746.044,10332.714,3948.279
MetaCyc-pathway-143,2507.705,7662.204,1569.764,3752.301,1583.991,1963.354,5782.797,6258.593,5372.29,8049.62,2562.959,4439.487,8195.494,1165.325,4257.55,3690.049,1381.049,8072.285,7191.912,4803.005,3372.881,8313.092,0,3715.651,6302.492,1157.293,3644.236,78.624,8599.574
MetaCyc-pathway-144,7364.169,7127.091,5462.439,4775.145,5920.213,4539.424,4256.154,0,0,9860.336,2397.715,7760.593,8523.995,7023.527,29.685,8045.355,1275.298,7692.78,3179.798,2675.534,7648.713,5097.517,3022.948,3734.827,6236.013,8745.614,7398.09,3376.114,2553.403
MetaCyc-pathway-145,4234.143,5725.506,5787.099,4138.584,1937.369,9647.502,114.608,5156.28,4400.215,0,13543.906,3376.515,4472.667,7550.131,3986.988,3788.772,419.042,4952.165,5678.165,6140.339,4285.95,5835.046,4675.908,5873.977,6058.07,8833.363,5256.161,468.782,4276.515
MetaCyc-pathway-146,5613.39,5644.079,7475.979,6375.67,2433.905,3123.801,6190.009,1869.752,4646.908,7461.134,9467.96,2367.795,6048.629,5548.321,6037.61,547.167,8714.336,6464.448,949.961,1706.934,9119.538,11362.876,4161.496,6637.656,4781.272,1284.937,4624.244,8574.677,6463.762
MetaCyc-pathway-147,4452.545,9069.514,8127.693,1388.705,4935.49,3010.156,5369.41,2293.697,5757.231,9528.171,6323.452,0,4851.914,0,0,5242.675,0,2547.362,6998.977,9588.326,2073.857,7035.511,11687.655,6888.8,5351.91,7548.612,3185.125,4816.462,5128.769
MetaCyc-pathway-148,7496.633,6424.471,10640.558,4368.212,7303.604,4112.793,3140.471,6859.204,1438.388,10102.685,4345.458,9533.902,3383.931,2839.085,858.769,0,8499.612,10116.936,4391.515,10345.89,11196.564,0,5494.431,6791.424,8142.626,4673.116,3791.096,3938.469,4874.459
MetaCyc-pathway-149,6269.603,4870.34,8027.955,3397.837,5478.995,1064.018,3812.025,3273.89,5863.877,2805.309,3003.175,2000.333,2982.871,10083.926,5112.359,291.221,773.894,5128.489,6757.965,11477.454,0,8616.853,6406.16,3491.001,0,5347.515,0,2954.21,7062.47
MetaCyc-pathway-150,3330.317,7147.532,4960.273,4721.312,6574.778,4608.256,987.74,3737.703,8339.502,2012.888,6777.059,3153.462,6596.556,7567.675,4433.802,4403.312,5470.032,7594.29,3616.17,2837.995,7483.438,8536.959,2918.271,1134.62,3428.494,2533.441,5175.627,2664.644,1507.373
